中文片名,外文片名,ID
24小時賭命倒數,Fatum,tt20215670
絕美波麗露,The Grand Bolero,tt11773446
我和喵喵的冒險旅行,A Cat's Life,tt15097144
來自雪國的遺書,Fragments of the Last Will,tt22037646
永遠的好麻吉,Dostojee,tt15386680
我的幸福婚約,My Happy Marriage,tt19869172
梵蒂岡驅魔士,The Pope's Exorcist,tt13375076
忌怪島,Immersion,tt23644572
勇闖太空,The Astronaut,tt14313434
#人孔,#Manhole,tt24670176
電影版TOKYO MER：行動急診室,Tokyo MER,tt27453633
熱帶往事,Are You Lonesome Tonight?,tt8519380
邪厄,Home for Rent,tt26547790
呼叫愛美子,Kochira Amiko,tt23322952
屍發現場,I Am the Abyss,tt15823126
超人力霸王德卡 最終章 朝向旅程的彼方‧‧‧,Ultraman Decker Finale: Journey to Beyond,tt23950632
巧虎電影　巧虎與塔魯王子,Shimajirou to Kirakira Oukoku no Ouji-sama,tt18968640
惠子不能輸,"Small, Slow but Steady",tt17309864
幸運狗狗來造訪,777 Charlie,tt7466810
腹荷,The Burdened,tt16611924
回不去的那座山,The Eight Mountains,tt14641542
貴公子,The Childe,tt27534328
神鬼聖戰,The Devil Conspiracy,tt9663168
不能流淚的悲傷,Behind the Blue Eyes,tt27042866
夏洛克的孩子們,Shylock's Children,tt21944604
五個惡魔,The Five Devils,tt13391708
她和他的女兒,Other People's Children,tt15403712
飯捲男孩乖乖睡,Riceboy Sleeps,tt13456340
My Precious初戀,My Precious,tt14326000
新．假面騎士,Shin Kamen Rider,tt14379088
速命道,Su ming dao,tt27033991
鬼郵輪：瑪麗皇后號,Haunting of the Queen Mary,tt3463938
犯罪都市3,The Roundup: No Way Out,tt21364552
名偵探神助理：黃金螺旋之謎,Nemesis the Movie: Mystery of Golden Spiral,tt24161580
龍與地下城：盜賊榮耀,Dungeons & Dragons: Honor Among Thieves,tt2906216
配樂大師顏尼歐,Ennio,tt3031654
日麗,Aftersun,tt19770238
電梯遊戲,Elevator Game,tt14013772
幽魂娜娜：重生,Mae Nak Reborn,tt26545014
惡靈古堡：死亡島,Resident Evil: Death Island,tt26674627
米蘭昆德拉：從玩笑到無謂的盛宴,Milan Kundera: From The Joke to Insignificance,tt13875550
疫起,Eye of the Storm,tt26686436
蟻人與黃蜂女 : 量子狂熱,Ant-Man and the Wasp: Quantumania,tt10954600
情慾獨角獸,Unicorns,tt15850538
我恨我自己,Sick of Myself,tt18816518
死屍死時四十四,Over My Dead Body,tt26493446
四層公寓,Walk Up,tt21404804
命案,Mad Fate,tt19856688
別叫我”賭神”,One More Chance,tt24067620
聖奧梅爾殺嬰案,Saint Omer,tt15376894
驚聲尖叫 6,Scream VI,tt17663992
胡桃鉗與魔笛公主的奇幻冒險,The Nutcracker and the Magic Flute,tt11006950
關於我和鬼變成家人的那件事,Marry My Dead Body,tt22742964
百合的雨聲,Yuri no Amaoto,tt22046186
淨化論,The Conference,tt14321668
義美超級爸,About My Father,tt8373206
鬼玩人：復活,Evil Dead Rise,tt13345606
AIR,Air,tt16419074
鏡之孤城,Lonely Castle in the Mirror,tt22868842
守護黑面琵鷺,Shou hu hei mien pi lu,tt27033944
SSSS.DYNAZENON 劇場總集篇,SSSS.Dynazenon,tt25399466
SSSS. GRIDMAN 劇場總集篇,SSSS.Gridman,tt24657462
雙手的溫柔,The Blue Caftan,tt17679584
為你鍾琴,The Quest for Tonewood,tt14526682
金之國水之國,Gold Kingdom and Water Kingdom,tt21105546
燃燒的玫瑰,The Colors of Fire,tt13217988
惡靈魔洛剋,Moloch,tt14412446
大愚樂家,Fool's Paradise,tt9013340
阿諾是個模範生,Arnon pen nakrian tuayang,tt10241746
這裡沒有熊,No Bears,tt20205236
三張面孔,3 Faces,tt8269552
烈火浩劫,En plein feu,tt15385664
催眠狙擊,Hypnotic,tt8080204
